STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,1/1/2014,,,,,0,",,7,0700",0,",,7",0,",,7",62,",,7",22,",,7",,
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,1/2/2014,,,,,0.06,",,7,0700",0.3,",,7",0,"T,,7",44,",,7",15,",,7",16,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,1/3/2014,,,,,0,",,7,0700",0,",,7",0,",,7",51,",,7",16,",,7",29,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,1/4/2014,,,,,0.08,",,7,0700",1.2,",,7",1,",,7",64,",,7",27,",,7",,
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,1/5/2014,,,,,0.1,",,7,0700",2.2,",,7",3,",,7",40,",,7",10,",,7",,
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,1/6/2014,,,,,0.04,",,7,0700",0.5,",,7",3,",,7",12,",,7",-2,",,7",-1,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,1/7/2014,,,,,0,",,7,0700",0,",,7",2,",,7",40,",,7",-1,",,7",27,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,1/8/2014,,,,,0,",,7,0700",0,",,7",1,",,7",47,",,7",16,",,7",17,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,1/9/2014,,,,,0,",,7,0700",0,",,7",1,",,7",49,",,7",15,",,7",17,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,1/10/2014,,,,,0,",,7,0700",0,",,7",0,",,7",51,",,7",16,",,7",,
